dashboard_path,chart_file,dashboard_page_key,dashboard_page_label,dashboard_section_key,dashboard_section_label,chart_kind,esto_flow_group_key,esto_flow_group_label,esto_flow_key,dataset,scenario,year,esto_flow,esto_product,source_sector,source_fuel,value_pj,is_subtotal,esto_pair_is_subtotal,ninth_pair_is_subtotal
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Black liqour,Total,0.00031132788512302215,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Charcoal,Charcoal,0.00031132788512302215,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Charcoal,Total,0.00031132788512302215,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Coal nonspecified,Coal nonspecified,0.13494683003368219,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Coal nonspecified,Total,0.13494683003368219,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Electricity,Electricity,357.8741188314819,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Electricity,Total,357.8741188314819,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Ethane,Ethane,0.01300783332008276,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Ethane,Total,0.01300783332008276,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Fuelwood and woodwaste,Fuelwood and woodwaste,0.00031132788512302215,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Fuelwood and woodwaste,Total,0.00031132788512302215,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Gas and diesel oil,Gas and diesel oil,5.693574774059821,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Gas and diesel oil,Total,5.693574774059821,False,False,False
,,,,chart_group__esto__unknown_flow__esto__unknown_flow__direct,,by_fuel,esto_flow_group__01__Production__02__Imports__03__Exports__07__Total_primary_energy_supply__08__Transfers__09__Total_transformation_sector__09_01_01__Electricity_plants__09_01_02__CHP_plants__09_02_01__Electricity_plants__09_02_02__CHP_plants__09_06__Gas_processing_plants__09_06_01__Gas_works_plants__09_06_02__Liquefaction_regasification_plants__09_07__Oil_refineries__09_08__Coal_transformation__09_08_01__Coke_ovens__09_08_02__Blast_furnaces__09_12__Non-specified_transformation__09_13__Hydrogen_transformation__09_13_01__Electrolysers__09_13_03__SMR_w_CCS__10_01_01__Electricity__CHP_and_heat_plants__10_01_02__Gas_works_plants__10_01_03__Liquefaction_regasification_plants__10_01_05__Coke_ovens__10_01_06__Coal_mines__10_01_07__Blast_furnaces__10_01_11__Oil_refineries__10_01_12__Oil_and_gas_extraction__10_01_13__Pump_storage_plants__10_01_17__Non-specified_own_uses__10_02__Transmission_and_distribution_losses__14__Industry_sector__14_03__Manufacturing__14_03_01__Iron_and_steel__14_03_02__Chemical__incl__petrochemical__14_03_07__Food__beverages_and_tobacco__15__Transport_sector,"Production + Imports + Exports + Total primary energy supply + Transfers + Total transformation sector + Electricity plants + CHP plants + Electricity plants + CHP plants + Gas processing plants + Gas works plants + Liquefaction/regasification plants + Oil refineries + Coal transformation + Non-specified transformation + Hydrogen transformation + Electrolysers + SMR w CCS + Electricity, CHP and heat plants + Gas works plants + Liquefaction/regasification plants + Coke ovens + Coal mines + Blast furnaces + Oil refineries + Oil and gas extraction + Non-specified own uses + Transmission and distribution losses + Industry sector + Manufacturing + Iron and steel + Transport sector + Coke ovens + Blast furnaces + Pump storage plants + Chemical (incl. petrochemical) + Food, beverages and tobacco",,LEAP_unmapped,Reference,2022,,,Industry/Manufacturing/Machinery/Gasoline type jet fuel,Gasoline type jet fuel,0.01300783332008276,False,False,False
