economy,scenario,region,sheet_name,sector_code_9th,sector_name,fuel_label,year,leap_value,leap_variable,leap_units,measure,leap_scale_note,ninth_fuel_code,esto_flow,esto_product,source_sheet,source_workbook,leap_sector,leap_fuel,leap_sector_name,leap_fuel_name
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biodiesel,2023,0.0007146257461788552,Energy Balance,Petajoule,Energy balance (PJ),,16_06_biodiesel,14.03.05 Transportation equipment,16.06 Biodiesel,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_06_biodiesel,Transportation equipment,Biodiesel
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogas,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_01_biogas,14.03.05 Transportation equipment,16.01 Biogas,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_01_biogas,Transportation equipment,Biogas
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogas,2023,0.0007146257459800243,Energy Balance,Petajoule,Energy balance (PJ),,16_01_biogas,14.03.05 Transportation equipment,16.01 Biogas,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_01_biogas,Transportation equipment,Biogas
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogas,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_01_biogas,14.03.05 Transportation equipment,16.01 Biogas,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_01_biogas,Transportation equipment,Biogas
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogas,2023,0.0007146257461788552,Energy Balance,Petajoule,Energy balance (PJ),,16_01_biogas,14.03.05 Transportation equipment,16.01 Biogas,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_01_biogas,Transportation equipment,Biogas
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogasoline,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_05_biogasoline,14.03.05 Transportation equipment,16.05 Biogasoline,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_05_biogasoline,Transportation equipment,Biogasoline
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogasoline,2023,0.0007146257459800243,Energy Balance,Petajoule,Energy balance (PJ),,16_05_biogasoline,14.03.05 Transportation equipment,16.05 Biogasoline,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_05_biogasoline,Transportation equipment,Biogasoline
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogasoline,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_05_biogasoline,14.03.05 Transportation equipment,16.05 Biogasoline,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_05_biogasoline,Transportation equipment,Biogasoline
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biogasoline,2023,0.0007146257461788552,Energy Balance,Petajoule,Energy balance (PJ),,16_05_biogasoline,14.03.05 Transportation equipment,16.05 Biogasoline,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_05_biogasoline,Transportation equipment,Biogasoline
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Black liqour,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,15_04_black_liquor,14.03.05 Transportation equipment,15.04 Black liqour,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,15_04_black_liquor,Transportation equipment,Black liqour
